Word,Score
sanes,130.00154178230034
sores,129.9845821769966
seres,129.80573543015726
sales,129.75331483194572
sates,127.8476719087265
sones,126.3213074313907
senes,126.14246068455132
soles,126.07308048103609
seles,125.89423373419672
sames,125.00462534690102
sades,124.8072772124576
sires,123.44125809435708
sages,123.3595436324391
sabes,123.10977489978414
tares,122.68732654949122
eases,122.67036694418749
rares,122.57631822386679
sakes,122.43601603453592
sises,122.18008017267962
cares,121.55874190564292
tases,121.42614862781376
rases,121.31514030218933
semes,121.14554424915202
safes,121.11008325624421
pares,121.05920444033302
lares,120.96978106691336
sedes,120.9481961147086
saves,120.93894542090656
bares,120.84027135368487
slaes,120.68763490595127
soces,120.4872032069072
dares,120.38698735738515
cases,120.29756398396546
eales,120.0200431699044
sures,120.00616712920136
pases,119.79802651865556
sazes,119.78260869565217
sines,119.77798334875116
mares,119.71322849213692
lases,119.7086031452359
bases,119.5790934320074
siles,119.52975639839656
saxes,119.48812827628738
soras,119.28923835954363
tores,119.00709219858156
oases,118.92537773666359
rores,118.89608387295713
teres,118.82824545174222
gares,118.77736663583102
tales,118.77582485353068
sokes,118.75578168362627
suses,118.7449892075239
rales,118.66481652790625
mases,118.45205057045946
nares,118.38112858464386
saris,118.03422756706753
canes,117.895467160037
cores,117.87850755473328
hares,117.80758556891767
toses,117.7459142769041
ceres,117.69966080789392
saros,117.67807585568919
fares,117.65340733888375
roses,117.63490595127968
sites,117.62411347517731
gases,117.51618871415356
reses,117.45605920444034
panes,117.3959296947271
pores,117.37897008942338
lanes,117.30650632130742
lores,117.28954671600371
peres,117.20012334258402
banes,117.17699660807894
bores,117.16003700277521
pales,117.1477027443725
leres,117.11069996916434
beres,116.98119025593587
bales,116.92876965772433
tates,116.87018193031145
soars,116.84551341350601
rates,116.75917360468702
seats,116.71600370027753
dores,116.7067530064755
sears,116.66666666666667
coses,116.61732963305582
deres,116.52790625963615
dales,116.4754856614246
sloes,116.42152328091274
poses,116.11779216774592
wares,116.11008325624422
manes,116.04995374653099
mores,116.03299414122726
loses,116.02836879432625
meres,115.85414739438791
seals,115.85414739438791
leses,115.84952204748689
males,115.80172679617638
cates,115.74159728646315
beses,115.7200123342584
sairs,115.65988282454518
sexes,115.62904717853839
snees,115.61979648473636
senas,115.44711686709834
doses,115.44557508479804
solas,115.37773666358311
tones,115.34381745297564
seans,115.33919210607462
ooses,115.24514338575393
pates,115.24205982115325
rones,115.23280912735122
tenes,115.1649707061363
gores,115.09713228492137
toles,115.09559050262104
bates,115.0231267345051
spaes,114.99537465309898
roles,114.98458217699661
seers,114.97378970089423
geres,114.91828553808202
teles,114.91674375578168
saree,114.88128276287388
gales,114.86586493987049
wases,114.84890533456677
sails,114.84736355226643
kaies,114.79494295405487
moses,114.7718162195498
meses,114.59296947271045
sides,114.58371877890842
dates,114.56984273820537
saags,114.36786925686093
sains,114.33240826395313
samas,114.30928152944804
vares,114.25994449583719
cones,114.21523280912736
seels,114.16127042861547
tames,114.02713536848597
fanes,113.99013259327782
fores,113.9731729879741
coles,113.96700585877274
heres,113.94850447116868
sices,113.94387912426765
hales,113.89608387295713
mates,113.89608387295713
feres,113.79432624113475
sants,113.79432624113475
sorts,113.77736663583103
pones,113.71569534381746
sipes,113.71415356151712
serrs,113.54918285538082
salts,113.54609929078015
penes,113.5368485969781
aedes,113.5245143385754
bones,113.4967622571693
poles,113.46746839346284
lenes,113.44742522355843
noses,113.43971631205675
benes,113.31791551032993
peles,113.2886216466235
boles,113.24853530681467
taces,113.18994757940179
totes,113.18994757940179
races,113.07893925377736
rotes,113.07893925377736
tetes,113.01110083256245
vases,112.99876657415973
gates,112.96022201665124
tapes,112.96022201665124
smees,112.90471785383905
cames,112.89855072463769
kanes,112.88004933703361
sards,112.8677150786309
hoses,112.86617329633056
denes,112.86463151403021
kores,112.86308973172987
rapes,112.84921369102682
doles,112.79525131051494
shoes,112.75824853530682
cades,112.70120259019427
sagas,112.66419981498612
kales,112.631822386679
soots,112.62873882207832
deles,112.6164045636756
aures,112.58248535306815
nates,112.56398396546408
tires,112.46376811594203
wanes,112.4468085106383
snies,112.44680851063829
sarus,112.41751464693186
sorns,112.40055504162812
lames,112.30958988590812
rages,112.27104532839962
roues,112.26333641689793
yores,112.23712611779217
satis,112.21708294788776
sikes,112.21245760098674
wales,112.1985815602837
menes,112.19087264878199
shies,112.15849522047486
sties,112.15849522047486
tabes,112.1322849213691
moles,112.12149244526672
lades,112.1122417514647
cotes,112.0613629355535
yales,112.00585877274129
taras,111.99198273203824
hates,111.9904409497379
arses,111.95652173913044
cetes,111.88251618871415
fates,111.83626271970398
capes,111.83163737280296
seirs,111.80080172679617
sools,111.76688251618872
dames,111.7267961763799
sarks,111.65279062596362
koses,111.60191181005241
paces,111.5618254702436
potes,111.5618254702436
laces,111.47240209682393
lotes,111.47240209682393
skees,111.46160962072156
takes,111.45852605612087
rakes,111.34751773049646
botes,111.34289238359544
cires,111.33518347209375
papes,111.33209990749306
swees,111.26734505087882
genes,111.2550107924761
cages,111.25346901017576
soaps,111.22725871107001
eaves,111.20567375886525
soree,111.20104841196422
goles,111.18563058896083
soils,111.16712920135677
betes,111.16404563675609
saids,111.11933395004625
rises,111.09158186864015
soaks,111.09004008633981
trees,111.08849830403948
nones,111.03761948812827
seils,110.98828245451742
slues,110.93740363860624
braes,110.93432007400556
daces,110.88960838729571
dotes,110.88960838729571
nenes,110.85877274128893
seams,110.85877274128893
sauts,110.82485353068147
yeses,110.79710144927536
noles,110.78939253777367
pages,110.75393154486586
somas,110.62904717853839
vanes,110.59666975023127
hones,110.4640764724021
seeds,110.4332408263953
sodas,110.43169904409498
paras,110.36386062288004
vales,110.34844279987666
tomes,110.34690101757631
cakes,110.32994141227258
fones,110.30989824236818
babes,110.28522972556274
supes,110.2790625963614
holes,110.21584952204749
maces,110.21584952204749
motes,110.21584952204748
temes,110.16805427073697
raias,110.13259327782917
spies,110.1295097132285
games,110.11717545482577
yates,110.10021584952206
solos,110.086339808819
rodes,110.03854455750849
heles,110.03700277520814
metes,110.03700277520814
bayes,110.03391921060746
saics,110.00154178230035
sauls,109.96299722479185
crees,109.95991366019118
sents,109.93524514338574
gades,109.91982732038237
redes,109.85969781066915
saims,109.85198889916744
raves,109.8504471168671
socas,109.79185938945422
lakes,109.74098057354303
toeas,109.73635522664199
names,109.72093740363862
janes,109.66697502312674
erses,109.64693185322233
bakes,109.61147086031453
casas,109.60222016651248
pises,109.57446808510639
sizes,109.559050262103
mires,109.48967005858773
sials,109.48967005858773
prees,109.46037619488128
mages,109.40795559666977
moues,109.40024668516806
bises,109.35553499845823
seeps,109.35553499845821
suras,109.31082331174838
arles,109.30619796484736
asses,109.2923219241443
topes,109.2799876657416
sixes,109.26456984273821
brees,109.24144310823313
comes,109.21831637372803
seeks,109.21831637372803
sands,109.20444033302498
sords,109.18748072772125
sadis,109.17668825161888
ropes,109.16897934011718
seems,109.16589577551649
mabes,109.15818686401481
hames,109.14739438791243
gapes,109.05026210299106
codes,109.02096823928461
maras,109.01788467468394
cafes,109.00400863398087
aloes,108.99784150477953
fames,108.9932161578785
hades,108.95004625346903
aunes,108.91921060746223
notes,108.88374961455442
cedes,108.84212149244526
caves,108.83287079864323
sells,108.82516188714153
sados,108.82053654024051
tines,108.80049337033611
fades,108.79586802343509
drees,108.78815911193341
sorus,108.73728029602222
taals,108.73573851372186
sobas,108.73419673142153
pomes,108.71877890841813
netes,108.70490286771508
toges,108.7018193031144
razes,108.6941103916127
rines,108.68948504471169
napes,108.65402405180389
lomes,108.62935553499847
synes,108.6077705827937
claes,108.58156028368795
tiles,108.5522664199815
taxes,108.51063829787233
makes,108.48442799876658
soyas,108.48288621646624
gages,108.47209374036386
lemes,108.45050878815911
riles,108.44125809435708
lodes,108.43200740055504
reges,108.41196423065063
raxes,108.39962997224791
pedes,108.34258402713536
robes,108.34104224483504
paves,108.33333333333333
tanas,108.32870798643232
toras,108.31174838112858
bodes,108.30249768732654
skies,108.2886216466235
ledes,108.2531606537157
laves,108.24390995991367
mises,108.22849213691026
ranas,108.2176996608079
faces,108.15602836879432
copes,108.1514030218933
teras,108.13290163428924
hetes,108.1313598519889
bedes,108.1236509404872
swies,108.09435707678075
talas,108.0804810360777
domes,108.04656182547025
fetes,107.97718162195498
cepes,107.97255627505396
tries,107.91551032994141
cures,107.90009250693802
kames,107.88313290163428
salps,107.87850755473328
demes,107.86771507863091
blaes,107.86308973172987
tajes,107.84458834412581
nabes,107.82608695652175
siris,107.81066913351836
serks,107.79370952821462
setts,107.7813752698119
tokes,107.77829170521122
masas,107.75670675300648
rajes,107.73358001850139
kades,107.68578476719088
naras,107.68578476719088
cines,107.67190872648783
rokes,107.6672833795868
ruses,107.65649090348442
popes,107.6518655565834
sangs,107.58711069996917
hires,107.58402713536849
lopes,107.56244218316374
rekes,107.48843663274745
oaves,107.46068455134136
wames,107.44989207523898
fires,107.42984890533457
pures,107.40055504162812
momes,107.37280296022203
sagos,107.37280296022202
lures,107.31113166820845
siens,107.281837804502
wades,107.25254394079558
ernes,107.24483502929387
memes,107.19395621338266
grees,107.17853839037927
modes,107.1754548257786
pines,107.17237126117793
aides,107.16003700277521
souts,107.14461917977181
paals,107.10761640456367
sours,107.09528214616095
lazes,107.08757323465927
lines,107.08294788775825
tosas,107.05057045945112
taels,107.04286154794943
loges,106.98427382053654
esses,106.9827320382362
dopes,106.97964847363552
soops,106.96114708603146
bines,106.95343817452975
piles,106.92414431082332
baals,106.88868331791551
rohes,106.88868331791551
paxes,106.88251618871415
ketes,106.86709836571076
earls,106.86247301880974
sooks,106.82392846130126
leges,106.80542707369719
sakis,106.80542707369719
laxes,106.79309281529449
cries,106.78692568609313
sooms,106.77150786308972
sofas,106.7345050878816
lobes,106.73450508788159
dures,106.72833795868024
biles,106.70521122417514
taros,106.70058587727414
voles,106.66820844896701
cokes,106.64970706136293
lanas,106.61116250385446
paans,106.59266111625038
hakes,106.57878507554733
maars,106.57415972864632
rites,106.53561517113783
dazes,106.50477952513106
dines,106.50015417823003
veles,106.48936170212765
tarts,106.48011100832564
boras,106.46469318532223
easts,106.4631514030219
palas,106.45235892691952
daals,106.43539932161579
fakes,106.42460684551342
doges,106.40148011100833
aeros,106.39531298180697
earns,106.34751773049646
mopes,106.3058896083873
pries,106.28738822078323
souls,106.2827628738822
balas,106.23342584027135
reais,106.20413197656491
roves,106.17021276595746
blees,106.17021276595744
sorbs,106.1563367252544
dobes,106.15171137835338
pokes,106.15016959605303
puses,106.13937711995067
laers,106.13783533765032
bries,106.06845513413506
ratas,106.06382978723404
lokes,106.06074622263337
frees,106.05457909343201
mures,106.054579093432
nomes,106.04070305272896
jones,105.98674067221708
sists,105.97286463151404
debes,105.97286463151403
pekes,105.97132284921369
bokes,105.93123650940487
buses,105.9204440333025
wires,105.88652482269504
karas,105.84798026518655
nodes,105.84335491828554
mazes,105.83102065988284
mines,105.8263953129818
wages,105.80481036077705
roars,105.75701510946655
joles,105.73851372186247
teats,105.73851372186247
tears,105.68917668825162
naves,105.65525747764416
dries,105.61517113783535
yages,105.61208757323466
miles,105.5781683626272
rears,105.5781683626272
maxes,105.53654024051805
cites,105.51803885291397
semis,105.51495528831329
mobes,105.47795251310515
homes,105.46716003700277
zones,105.45945112550109
paris,105.4286154794943
vades,105.40240518038853
tunes,105.36540240518039
manas,105.35460992907802
carts,105.35152636447734
sends,105.34535923527596
laris,105.33919210607463
moras,105.33765032377428
lowes,105.33456675917361
fomes,105.31298180696885
carrs,105.30218933086648
dekes,105.29910576626581
hemes,105.28831329016343
solds,105.27597903176071
runes,105.25439407955596
spues,105.24514338575393
suets,105.22355843354919
bowes,105.20505704594511
baels,105.19580635214308
suers,105.17422139993833
coves,105.15263644773357
femes,105.13413506012951
tozes,105.12488436632748
tules,105.11717545482578
serfs,105.11100832562441
malas,105.10638297872342
tarns,105.10329941412272
haves,105.08171446191797
rules,105.00616712920136
lites,104.9290780141844
faves,104.92753623188406
gazes,104.89515880357693
wakes,104.88128276287388
teals,104.87665741597286
parts,104.85198889916744
ayres,104.84736355226643
rezes,104.8350292938637
solus,104.82577860006168
mokes,104.80419364785692
