First Word,Second Word,First Word Score,Second Word Score,Combined Score
bores,canty,162.4049181565754,115.30363330366289,277.7085514602383
cores,banty,161.0421511117174,116.6664003485209,277.7085514602383
canes,borty,159.9381205509525,117.77043090928578,277.70855146023825
bares,ponty,164.19538279214908,112.4300919851105,276.62547477725957
banes,porty,161.3008875958105,115.32458718144906,276.62547477725957
pores,banty,159.9590744287387,116.6664003485209,276.62547477725957
bones,party,159.51042296023684,117.11505181702273,276.62547477725957
panes,borty,158.85504386797376,117.77043090928578,276.62547477725957
fores,banty,158.77057177443612,116.6664003485209,275.436972122957
fanes,borty,157.66654121367122,117.77043090928578,275.436972122957
cares,ponty,162.83261574729107,112.4300919851105,275.26270773240157
cones,party,158.14765591537883,117.11505181702273,275.26270773240157
bales,porty,159.5526433610944,115.32458718144906,274.87723054254343
boles,party,157.7621787255207,117.11505181702273,274.87723054254343
pales,borty,157.10679963325765,117.77043090928578,274.87723054254343
coles,barny,156.3994116806627,118.07215448538315,274.4715661660458
janes,borty,156.5000877564445,117.77043090928578,274.27051866573026
mores,banty,157.118105569072,116.6664003485209,273.78450591759287
manes,borty,156.0140750083071,117.77043090928578,273.78450591759287
gores,banty,156.92963084989583,116.6664003485209,273.5960311984167
poles,barny,155.31633499768398,118.07215448538315,273.38848948306713
dores,banty,156.36269235551396,116.6664003485209,273.02909270403484
fares,ponty,160.5610364100098,112.4300919851105,272.9911283951203
fones,party,155.87607657809755,117.11505181702273,272.9911283951203
pones,barky,157.06457923240012,114.98978771333492,272.05436694573507
males,borty,154.26583077359095,117.77043090928578,272.0362616828767
gales,borty,154.0773560544148,117.77043090928578,271.84778696370057
pares,jonty,161.74953906431233,110.07513587358122,271.8246749378935
jones,party,154.70962312087082,117.11505181702273,271.8246749378935
toles,barny,153.3821833809859,118.07215448538315,271.4543378663691
lores,banty,154.78380462664944,116.6664003485209,271.4502049751703
lanes,borty,153.67977406588454,117.77043090928578,271.4502049751703
cames,borty,153.582103581228,117.77043090928578,271.3525344905138
mares,ponty,158.90857020464566,112.4300919851105,271.3386621897562
dales,borty,153.51041756003292,117.77043090928578,271.2808484693187
bates,corny,156.35485089313286,114.91892280495148,271.27377369808437
botes,carny,154.5643862575592,116.70938744052515,271.27377369808437
cotes,barny,153.2016192127012,118.07215448538315,271.27377369808437
gares,ponty,158.72009548546947,112.4300919851105,271.15018747057997
wanes,borty,153.3467116087332,117.77043090928578,271.11714251801897
joles,barny,152.9613788861547,118.07215448538315,271.0335333715378
dares,ponty,158.15315699108763,112.4300919851105,270.5832489761981
moles,barny,152.47536613801728,118.07215448538315,270.54752062340043
tones,parly,155.13042761570205,115.37682295200725,270.5072505677093
goles,barny,152.28689141884115,118.07215448538315,270.35904590422433
potes,barny,152.11854252972245,118.07215448538315,270.19069701510557
tales,corny,155.17264801655958,114.91892280495148,270.091570821511
comes,barny,151.79163894565434,118.07215448538315,269.8637934310375
doles,barny,151.71995292445925,118.07215448538315,269.7921074098424
kaies,borty,151.80231934730654,117.77043090928578,269.5727502565923
wales,borty,151.59846737401705,117.77043090928578,269.3688982833028
tares,fonly,159.81538744761428,109.50336046579244,269.3187479134067
cades,borty,151.39247053085086,117.77043090928578,269.16290144013664
fames,borty,151.31052424394673,117.77043090928578,269.0809551532325
cires,banty,152.4114707535398,116.6664003485209,269.07787110206067
caves,borty,151.2607853908739,117.77043090928578,269.0312163001597
lares,ponty,156.5742692622231,112.4300919851105,269.0043612473336
